poem,label
"ଅ wଇଲ୍ଲୋw ବେନ୍ଦ୍ସ୍ ଲୋw,
ଦିପ୍ପିନ୍ଗ୍ ବ୍ରନ୍ଛେସ୍ ଇନ୍ ଥେ ସ୍ତ୍ରେଅମ୍,
ଦ୍ରଗୋନ୍ଫ଼୍ଲିଏସ୍ ହୋଵେର୍,
Wଇନ୍ଗ୍ସ୍ ଅଗ୍ଲୋw ଇନ୍ ଗୋଲ୍ଦେନ୍ ଲିଘ୍ତ୍,
ଦ୍ରିଫ଼୍ତିନ୍ଗ୍ wହେରେ ଥେ ରିପ୍ପ୍ଲେସ୍ ଚଲ୍ଲ୍।",0
"ଥେ ତେମ୍ପେସ୍ତ୍ ଲେତ୍ ଲୋଓସେ ଇନ୍ ଥେ ସ୍କ୍ଯ୍,
ଅସ୍ ଥୁନ୍ଦେର୍ ଦିଦ୍ ରୁମ୍ବ୍ଲେ ଓନ୍ ହିଘ୍।
ଥେ ଫ଼ୋରେସ୍ତ୍ ଦିଦ୍ ଗ୍ରୋଅନ୍,
Wଇଥ୍ ଦେଏପ୍ ହୋଲ୍ଲୋw ତୋନେ,
ଅସ୍ ଲିଘ୍ତ୍ନିନ୍ଗ୍ ଇନ୍ ଫ଼ୁର୍ଯ୍ ଫ଼୍ଲସ୍ହେଦ୍ ବ୍ଯ୍।",1
"ଅ ଚସ୍ତ୍ଲେ ସ୍ତୋଓଦ୍ ହିଘ୍ ଓନ୍ ଥେ ମୋଓର୍,
Wଇଥ୍ ତୁର୍ରେତ୍ସ୍ ବୋଥ୍ ଅନ୍ଚିଏନ୍ତ୍ ଅନ୍ଦ୍ ପୁରେ।
ଥେ ଇଵ୍ଯ୍ ଦିଦ୍ ଚ୍ଲିମ୍ବ୍,
Wଇଥ୍ ବେଔତ୍ଯ୍ ସୁବ୍ଲିମେ,
ଅନ୍ଦ୍ wରପ୍ପେଦ୍ ଇତ୍ ଇନ୍ ସ୍ଲୁମ୍ବେର୍ ସେଚୁରେ।",1
"ଅ ବ୍ରୋଓକ୍ଲେତ୍ ସୋ ମେର୍ର୍ଯ୍ ଦିଦ୍ wଏଅଵେ,
ଥ୍ରୋଉଘ୍ ମେଅଦୋwସ୍ ଅତ୍ ଦwନିନ୍ଗ୍ ଓଫ଼୍ ଏଵେ।
ଇତ୍ସ୍ ମୁର୍ମୁର୍ସ୍ ସୋ ବ୍ରିଘ୍ତ୍,
ବ୍ରୋଉଘ୍ତ୍ ନୌଘ୍ତ୍ ବୁତ୍ ଦେଲିଘ୍ତ୍,
ଅସ୍ wଅତେର୍ସ୍ ଇନ୍ ରିପ୍ପ୍ଲେସ୍ ଦିଦ୍ ଲେଅଵେ।",1
"ଥେ ଚୋଲ୍ଦ୍ wଇନ୍ଦ୍ ଅର୍ରିଵେସ୍,
ସ୍wଏଏପିନ୍ଗ୍ ଥ୍ରୋଉଘ୍ ଥେ ଔତୁମ୍ନ୍ ହିଲ୍ଲ୍ସ୍,
ଲେଅଵେସ୍ ସ୍ଚତ୍ତେର୍ ଲିକେ ଫ଼୍ଲମେସ୍,
ସେତ୍ତିନ୍ଗ୍ ଫ଼ିରେ ତୋ ଥେ ଏଅର୍ଥ୍,
ବେଫ଼ୋରେ wଇନ୍ତେର୍ ହୁସ୍ହେସ୍ ଅଲ୍ଲ୍।",0
"ଥେ ଓର୍ଛର୍ଦ୍ wଅସ୍ ଲଦେନ୍ wଇଥ୍ ହୁଏ,
Wହେରେ ଅପ୍ପ୍ଲେସ୍ ଅନ୍ଦ୍ ପେଅଛେସ୍ ଓନ୍ଚେ ଗ୍ରେw।
ଥେ ରୋବିନ୍ସ୍ ତୋଓକ୍ ଫ଼୍ଲିଘ୍ତ୍,
ଅତ୍ ଥେ ଚ୍ଲୋସେ ଓଫ଼୍ ଥେ ନିଘ୍ତ୍,
ତୋ ସିନ୍ଗ୍ ଅସ୍ ଥେ ମୋର୍ନିନ୍ଗ୍ wଇନ୍ଦ୍ସ୍ ବ୍ଲେw।",1
"ଥେ ହିଲ୍ଲ୍ସ୍ wଏଅର୍ ଅ ଚ୍ରୋwନ୍,
ଗୋଲ୍ଦେନ୍ ତ୍ରେଏସ୍ ଇନ୍ ଔତୁମ୍ନ୍‚ସ୍ ହୋଲ୍ଦ୍,
ଅ ବ୍ରେଏଜ଼େ ସ୍ତିର୍ସ୍ ଥେ ଐର୍,
ସ୍wଏଏପିନ୍ଗ୍ ଥ୍ରୋଉଘ୍ ଥେ ଚ୍ରିମ୍ସୋନ୍ ସ୍କ୍ଯ୍,
ଅସ୍ ଥେ ଏଅର୍ଥ୍ ତୁର୍ନ୍ସ୍ ଓନ୍ଚେ ଅଗୈନ୍।",0
"ଅ ତେମ୍ପେସ୍ତ୍ ଦିଦ୍ ସ୍ହକେ ଥେ ଓଲ୍ଦ୍ ତ୍ରେଏସ୍,
ଅନ୍ଦ୍ ରୋଅରେଦ୍ wଇଥ୍ ଅ ବ୍ଲୁସ୍ତେରିନ୍ଗ୍ ବ୍ରେଏଜ଼େ।
ଥେ ଥୁନ୍ଦେର୍ ଦିଦ୍ ଚଲ୍ଲ୍,
ଓ‚ଏର୍ ମୋଉନ୍ତୈନ୍ସ୍ ସୋ ତଲ୍ଲ୍,
ଅସ୍ ରିଵେର୍ସ୍ ଦିଦ୍ ବ୍ରେଅକ୍ ଫ଼୍ରୋମ୍ ଥେଇର୍ ଲେଏସ୍।",1
"ଥେ wଅଵେସ୍ ପୁଲ୍ଲ୍ ଅwଅଯ୍,
ଲେଅଵିନ୍ଗ୍ ଫ଼ୋଓତ୍ପ୍ରିନ୍ତ୍ସ୍ ଇନ୍ ଥେ ସନ୍ଦ୍,
ଥେ ଗୁଲ୍ଲ୍ସ୍ ଚ୍ର୍ଯ୍ ଅଲୋଉଦ୍,
ଚଲ୍ଲିନ୍ଗ୍ ତୋ ଥେ ରେସ୍ତ୍ଲେସ୍ସ୍ ତିଦେ,
ବୋଉନ୍ଦ୍ ତୋ ଥେ wଇନ୍ଦ୍ ଅନ୍ଦ୍ ଥେ wଅଵେସ୍।",0
"ଥେ ତେମ୍ପେସ୍ତ୍ ଲେତ୍ ଲୋଓସେ ଇନ୍ ଇତ୍ସ୍ ମିଘ୍ତ୍,
ଅନ୍ଦ୍ ବନିସ୍ହେଦ୍ ଥେ ସ୍ତର୍ସ୍ ଫ଼୍ରୋମ୍ ଥେ ନିଘ୍ତ୍।
ଥେ ତୋର୍ରେନ୍ତ୍ସ୍ ଦିଦ୍ ପୋଉର୍,
Wଇଥ୍ ଦେଅଫ଼େନିନ୍ଗ୍ ରୋଅର୍,
ଅନ୍ଦ୍ ଲେଫ଼୍ତ୍ ବୁତ୍ ଅ wଓର୍ଲ୍ଦ୍ ଵୋଇଦ୍ ଓଫ଼୍ ଲିଘ୍ତ୍।",1
"ଥେ ମୋଓର୍ wଇଥ୍ ଅ wହିସ୍ପେର୍ ଦିଦ୍ ସିଘ୍,
ଅସ୍ ବ୍ରେଏଜ଼େସ୍ wଏନ୍ତ୍ ଫ଼୍ଲୋଅତିନ୍ଗ୍ ଓନ୍ ହିଘ୍।
ଥେ ହେଅଥେର୍ ଦିଦ୍ ବ୍ଲୋଓମ୍,
Wଇଥ୍ ଦେଲିଚତେ ପ୍ଲୁମେ,
ବେନେଅଥ୍ ଥେ ପଲେ ହୁସ୍ହ୍ ଓଫ଼୍ ଥେ ସ୍କ୍ଯ୍।",1
"ଅ ତେମ୍ପେସ୍ତ୍ ସୋ wଇଚ୍କେଦ୍ ଦିଦ୍ ରୋଅର୍,
ଅନ୍ଦ୍ ଚ୍ରସ୍ହେଦ୍ ଓନ୍ ଥେ ଦେସୋଲତେ ସ୍ହୋରେ।
ଥେ ବିଲ୍ଲୋwସ୍ ଅରୋସେ,
ଅସ୍ ଗଲେସ୍ ଫ଼ିଏର୍ଚେଲ୍ଯ୍ ଛୋସେ,
ତୋ ସ୍ହକେ ଥେ ଲୋନେ ମରିନେର୍ ସୋରେ।",1
"ଥେ ସ୍ତୋର୍ମ୍ ରୁସ୍ହେସ୍ ଇନ୍,
ଦର୍କ୍ ଚ୍ଲୋଉଦ୍ସ୍ ରୋଲ୍ଲ୍ ଅଚ୍ରୋସ୍ସ୍ ଥେ ହିଲ୍ଲ୍ସ୍,
ଥୁନ୍ଦେର୍ ସ୍ହକେସ୍ ଥେ ଗ୍ରୋଉନ୍ଦ୍,
ଲିଘ୍ତ୍ନିନ୍ଗ୍ ଚୁତ୍ସ୍ ଥେ ସ୍କ୍ଯ୍ ଇନ୍ ତ୍wଓ,
ଥେ ଏଅର୍ଥ୍ ତ୍ରେମ୍ବ୍ଲେସ୍ ଅତ୍ ଇତ୍ସ୍ ରୋଅର୍।",0
"ଥେ ନିଘ୍ତ୍ wହିସ୍ପେର୍ସ୍ ଲୋw,
ଥ୍ରୋଉଘ୍ ଥେ ହୋଲ୍ଲୋwସ୍ ଓଫ଼୍ ଥେ wଓଓଦ୍,
ଅ ଫ଼ୋx ମୋଵେସ୍ ଉନ୍ସେଏନ୍,
ଦ୍ରିଫ଼୍ତିନ୍ଗ୍ ବେତ୍wଏଏନ୍ ଦର୍କ୍ ଅନ୍ଦ୍ ଲିଘ୍ତ୍,
ଵନିସ୍ହିନ୍ଗ୍ ଅସ୍ ଦwନ୍ ଅପ୍ପେଅର୍ସ୍।",0
"ଥେ ମେଅଦୋw wଇଥ୍ ବ୍ଲୋସ୍ସୋମ୍ସ୍ ଦିଦ୍ ସ୍ହିନେ,
ଏମ୍ବ୍ରଚେଦ୍ ବ୍ଯ୍ ଥେ ମୋର୍ନିନ୍ଗ୍ ଦିଵିନେ।
ଥେ ସ୍କ୍ଯ୍ଲର୍କ୍ ସୋ ଫ଼୍ରେଏ,
ସନ୍ଗ୍ ହିଘ୍ ଓ‚ଏର୍ ଥେ ଲେଅ,
ଅସ୍ ସୋଫ଼୍ତ୍ ଜ଼େଫ୍ଯ୍ର୍ସ୍ wଓଵେ ଅ ଦେସିଗ୍ନ୍।",1
"ଅ ରିଵେର୍ ମୋଵେସ୍ ସ୍ଲୋw,
ଚର୍ର୍ଯିନ୍ଗ୍ ଥେ ବ୍ରେଅଥ୍ ଓଫ଼୍ ତିମେ,
ରେଫ଼୍ଲେଚ୍ତିଓନ୍ସ୍ ଦ୍ରିଫ଼୍ତ୍ ପସ୍ତ୍,
ଅସ୍ ଥେ wଇଲ୍ଲୋwସ୍ ଦିପ୍ ଥେଇର୍ ଲେଅଵେସ୍,
Wଏଅଵିନ୍ଗ୍ wହିସ୍ପେର୍ସ୍ ଇନ୍ତୋ wଅଵେସ୍।",0
"ଅ ସ୍wଅଲ୍ଲୋw ଗ୍ଲିଦେସ୍ ଫ଼ସ୍ତ୍,
ସ୍wଏଏପିନ୍ଗ୍ ଲୋw ଅବୋଵେ ଥେ ଗ୍ରସ୍ସ୍,
ସ୍ହଦୋwସ୍ ରଚେ ବେଲୋw,
ଛସିନ୍ଗ୍ ଲିଘ୍ତ୍ ଉପୋନ୍ ଥେ ହିଲ୍ଲ୍ସ୍,
ବେଫ଼ୋରେ ଥେ ଦୁସ୍କ୍ ସ୍ତେଅଲ୍ସ୍ ଇତ୍ ହୋମେ।",0
"ଥେ ଵଲ୍ଲେଯ୍ ହୋଲ୍ଦ୍ସ୍ ଲିଘ୍ତ୍,
ମୋର୍ନିନ୍ଗ୍ ସ୍ପିଲ୍ଲ୍ସ୍ ଅଚ୍ରୋସ୍ସ୍ ଥେ ଲନ୍ଦ୍,
ଅ ଲର୍କ୍ ଚଲ୍ଲ୍ସ୍ ସୋ ଚ୍ଲେଅର୍,
ରିସିନ୍ଗ୍ ହିଘ୍ ଉପୋନ୍ ଥେ ବ୍ରେଏଜ଼େ,
ଅ ଵୋଇଚେ wଓଵେନ୍ ଇନ୍ତୋ ଦwନ୍।",0
"ଥେ ସ୍ତୋର୍ମ୍ ଲେଅଵେସ୍ ବେହିନ୍ଦ୍,
ପୋଓଲ୍ସ୍ ଓଫ଼୍ ସିଲ୍ଵେର୍ ଓନ୍ ଥେ ଗ୍ରୋଉନ୍ଦ୍,
ଚ୍ଲୋଉଦ୍ସ୍ ପର୍ତ୍ ଫ଼ୋର୍ ଥେ ସୁନ୍,
ଚସ୍ତିନ୍ଗ୍ ଲିଘ୍ତ୍ ଉପୋନ୍ ଥେ ତ୍ରେଏସ୍,
ଅସ୍ ଥେ wଓର୍ଲ୍ଦ୍ ବେଗିନ୍ସ୍ ଅନେw।",0
"ଥେ ରିଵେର୍ ମେଅନ୍ଦେରେଦ୍ ସୋ ସ୍ଲୋw,
ଥ୍ରୋଉଘ୍ ରୁସ୍ହେସ୍ ଥତ୍ ସ୍wଅଯେଦ୍ ତୋ ଅନ୍ଦ୍ ଫ଼୍ରୋ।
ଥେ ମିନ୍ନୋwସ୍ ତୋଓକ୍ ଫ଼୍ଲିଘ୍ତ୍,
ଅତ୍ ଥେ ଦwନ୍‚ସ୍ ଗୋଲ୍ଦେନ୍ ଲିଘ୍ତ୍,
ଅସ୍ wଅତେର୍ସ୍ ଇନ୍ ରିପ୍ପ୍ଲେସ୍ ଦିଦ୍ ଫ଼୍ଲୋw।",1
"ଥେ ଫ଼ିର୍ସ୍ତ୍ ସ୍ନୋw ଦେସ୍ଚେନ୍ଦ୍ସ୍,
ଲଚିନ୍ଗ୍ ଅଲ୍ଲ୍ ଥେ wଓର୍ଲ୍ଦ୍ ଇନ୍ wହିତେ,
ଅ ହୁସ୍ହ୍ ଫ଼ିଲ୍ଲ୍ସ୍ ଥେ ଐର୍,
ଏଵେନ୍ ଥେ ରିଵେର୍ସ୍ ଗ୍ରୋw ସ୍ତିଲ୍ଲ୍,
Wରପ୍ପେଦ୍ wଇଥିନ୍ ଥେ ବ୍ରେଅଥ୍ ଓଫ଼୍ ଇଚେ।",0
"ଥେ ସେଅ ସିନ୍ଗ୍ସ୍ ଇତ୍ସ୍ ସୋନ୍ଗ୍,
Wଅଵେସ୍ ଏମ୍ବ୍ରଚେ ଥେ ଅନ୍ଚିଏନ୍ତ୍ ସ୍ହୋରେ,
ଅ ଲିଘ୍ଥୋଉସେ ସ୍ତିଲ୍ଲ୍ ସ୍ତନ୍ଦ୍ସ୍,
ଇତ୍ସ୍ ଫ଼ିରେ ଚୁତ୍ତିନ୍ଗ୍ ଥ୍ରୋଉଘ୍ ଥେ ଦର୍କ୍,
ଅ ଲୋନେ ସ୍ତର୍ ଉପୋନ୍ ଥେ ଚ୍ଲିଫ଼୍ଫ଼୍ସ୍।",0
"ଅ ରିଵେର୍ ସୋ ଗେନ୍ତ୍ଲେ ଅନ୍ଦ୍ wଇଦେ,
ଦିଦ୍ ମିର୍ରୋର୍ ଥେ ହିଲ୍ଲ୍ସ୍ ଅତ୍ ଇତ୍ସ୍ ସିଦେ।
ଥେ wଇଲ୍ଲୋwସ୍ ଦିଦ୍ ବୋw,
ତୋ wଅତେର୍ସ୍ ବେଲୋw,
ଅନ୍ଦ୍ wଅତ୍ଛେଦ୍ ଅସ୍ ଥେ ସେଅସୋନ୍ସ୍ ଦିଦ୍ ଗ୍ଲିଦେ।",1
"ଅ ଫ଼ଲ୍ଚୋନ୍ ତକେସ୍ ଫ଼୍ଲିଘ୍ତ୍,
ରିଦିନ୍ଗ୍ wଇନ୍ଦ୍ସ୍ ଥତ୍ ତ୍wଇସ୍ତ୍ ଅନ୍ଦ୍ ରିସେ,
ବେଲୋw, ରିଵେର୍ସ୍ wଏଅଵେ,
ଗୋଲ୍ଦେନ୍ ଫ଼ିଏଲ୍ଦ୍ସ୍ ସ୍ତ୍ରେତ୍ଛ୍ ଫ଼ର୍ ଅନ୍ଦ୍ wଇଦେ,
ଅଲ୍ଲ୍ ଫ଼ଦିନ୍ଗ୍ ବେନେଅଥ୍ ହିସ୍ wଇନ୍ଗ୍ସ୍।",0
"ଥେ ଵଲ୍ଲେଯ୍ wଅସ୍ ସ୍ହ୍ରୋଉଦେଦ୍ ଇନ୍ ମିସ୍ତ୍,
ବ୍ଯ୍ ତ୍wଇଲିଘ୍ତ୍ ସୋ ଗେନ୍ତ୍ଲ୍ଯ୍ କିସ୍ସେଦ୍।
ଥେ wଅର୍ବ୍ଲେର୍ ଦିଦ୍ ସିନ୍ଗ୍,
ଅତ୍ ଥେ ବ୍ଲୁସ୍ହ୍ ଓଫ଼୍ ଥେ ସ୍ପ୍ରିନ୍ଗ୍,
ଅନ୍ଦ୍ ମେଲ୍ତେଦ୍ ଥେ ମୋର୍ନିନ୍ଗ୍‚ସ୍ ଚୋଲ୍ଦ୍ wରିସ୍ତ୍।",1
"ଅ ଲନ୍ତେର୍ନ୍ ଓଫ଼୍ ସ୍ତର୍ସ୍,
ସ୍ଚତ୍ତେରେଦ୍ ହିଘ୍ ଅବୋଵେ ଥେ ସେଅ,
ଥେ ତିଦେ ପୁଲ୍ଲ୍ସ୍ ଅwଅଯ୍,
ଲେଅଵିନ୍ଗ୍ ସ୍ତୋରିଏସ୍ ଇନ୍ ଥେ ସନ୍ଦ୍,
ଥତ୍ ଵନିସ୍ହ୍ ବେଫ଼ୋରେ ଥେ ଦwନ୍।",0
"ଅ ଲର୍କ୍‚ସ୍ ସୋନ୍ଗ୍ ସୋଅର୍ସ୍ ହିଘ୍,
ରିସିନ୍ଗ୍ ଉପ୍ wଇଥ୍ ମୋର୍ନିନ୍ଗ୍‚ସ୍ ଲିଘ୍ତ୍,
ଥେ ମେଅଦୋw wଅକେସ୍ ସ୍ଲୋw,
ବଥେଦ୍ ଇନ୍ ଗୋଲ୍ଦ୍ ଅନ୍ଦ୍ ହୋନେଯେଦ୍ ଐର୍,
Wଏଲ୍ଚୋମିନ୍ଗ୍ ଥେ ବ୍ରେଅଥ୍ ଓଫ଼୍ ଦwନ୍।",0
"ଥେ ଲର୍କ୍ ଇନ୍ ଥେ ହେଅଵେନ୍ସ୍ ଦିଦ୍ ରିସେ,
Wଇଥ୍ ସୋନ୍ଗ୍ ଥତ୍ ଅସ୍ଚେନ୍ଦେଦ୍ ଥେ ସ୍କିଏସ୍।
ଥେ ଦୈସିଏସ୍ ଇନ୍ ବ୍ଲୋଓମ୍,
ସ୍ହେଦ୍ ଦେଲିଚତେ ଫ଼ୁମେ,
ଅସ୍ ବ୍ରେଏଜ଼େସ୍ ଇନ୍ wହିସ୍ପେର୍ସ୍ ଦିଦ୍ ସିଘ୍।",1
"ଅ ଫ଼ୋଉନ୍ତୈନ୍ ଦିଦ୍ ଗ୍ଲିସ୍ତେନ୍ wଇଥ୍ ଛେଏର୍,
ଇତ୍ସ୍ wଅତେର୍ସ୍ ସୋ ଚ୍ର୍ଯ୍ସ୍ତଲ୍ ଅନ୍ଦ୍ ଚ୍ଲେଅର୍।
ଥେ ରୋସେସ୍ ସ୍ତୋଓଦ୍ ତଲ୍ଲ୍,
ବ୍ଯ୍ ଥେ ଇଵ୍ଯ୍-ଚ୍ଲଦ୍ wଅଲ୍ଲ୍,
ଅସ୍ ବ୍ରେଏଜ଼େସ୍ ଇନ୍ wହିସ୍ପେର୍ସ୍ ଦ୍ରେw ନେଅର୍।",1
"ଅ ବ୍ରୋଓକ୍ ଇନ୍ ଇତ୍ସ୍ ମେଲୋଦ୍ଯ୍ ପ୍ଲଯେଦ୍,
ଥ୍ରୋଉଘ୍ ମେଅଦୋwସ୍ ଓଫ଼୍ ବ୍ଲୋସ୍ସୋମ୍ ଅର୍ରଯେଦ୍।
ଥେ ଲିଲିଏସ୍ ସୋ ବ୍ରିଘ୍ତ୍,
ଦିଦ୍ ଦନ୍ଚେ ଇନ୍ ଦେଲିଘ୍ତ୍,
ଅନ୍ଦ୍ wଏଲ୍ଚୋମେଦ୍ ଥେ ସୁନ୍ ଅସ୍ ଇତ୍ ସ୍wଅଯେଦ୍।",1
"ଅ ରିଵୁଲେତ୍ ଦନ୍ଚେଦ୍ wଇଥ୍ ଦେଲିଘ୍ତ୍,
ଥ୍ରୋଉଘ୍ ମେଅଦୋwସ୍ ସୋ ଗୋଲ୍ଦେନ୍ ଅନ୍ଦ୍ ବ୍ରିଘ୍ତ୍।
ଥେ ହେରୋନ୍ ସ୍ତୋଓଦ୍ ନେଅର୍,
ଇନ୍ wଅତେର୍ସ୍ ସୋ ଚ୍ଲେଅର୍,
ରେଫ଼୍ଲେଚ୍ତିନ୍ଗ୍ ଥେ ଦwନ୍‚ସ୍ ତେନ୍ଦେର୍ ଲିଘ୍ତ୍।",1
